,Poverty Thresholds 2003,,,,,,,,,
,,,,,,,,,,
,"(Use landscape & legal printer options to print this table)
Poverty Thresholds for 2003 by Size of Family and Number of Related Children Under 18 Years (Dollars)",,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Size of family unit,"Weighted
Average
Thresholds",Related children under 18 years,,,,,,,,
,,None,One,Two,Three,Four,Five,Six,Seven,"Eight
or
more"
One person (unrelated individual)......,"9,393",,,,,,,,,
Under 65 years......,"9,573","9,573",,,,,,,,
65 years and over......,"8,825","8,825",,,,,,,,
,,,,,,,,,,
Two persons......,"12,015",,,,,,,,,
Householder under 65 years......,"12,384","12,321","12,682",,,,,,,
Householder 65 years and over......,"11,133","11,122","12,634",,,,,,,
,,,,,,,,,,
Three persons......,"14,680","14,393","14,810","14,824",,,,,,
Four persons......,"18,810","18,979","19,289","18,660","18,725",,,,,
Five persons......,"22,245","22,887","23,220","22,509","21,959","21,623",,,,
Six persons......,"25,122","26,324","26,429","25,884","25,362","24,586","24,126",,,
Seven persons......,"28,544","30,289","30,479","29,827","29,372","28,526","27,538","26,454",,
Eight persons......,"31,589","33,876","34,175","33,560","33,021","32,256","31,286","30,275","30,019",
Nine persons or more......,"37,656","40,751","40,948","40,404","39,947","39,196","38,163","37,229","36,998","35,572"
Source:U.S. Census Bureau,,,,,,,,,,
