
,Poverty Thresholds 2005

,(Use landscape & legal printer options to print this table)
,Poverty Thresholds for 2005 by Size of Family and Number of Related Children Under 18 Years
,(Dollars)

Size of Family Unit,"Weighted
Average
Thresholds",Related children under 18 years,,,,,,,,
,,None,One,Two,Three,Four,Five,Six,Seven,"Eight
or
more"
One person (unrelated individual) ......,"9,973",,,,,,,,,
Under 65 years ......,"10,160","10,160",,,,,,,,
65 years and over ......,"9,367","9,367",,,,,,,,
,,,,,,,,,,
Two people ......,"12,755",,,,,,,,,
Householder under 65 years ......,"13,145","13,078","13,461",,,,,,,
Householder 65 years and over ......,"11,815","11,805","13,410",,,,,,,
,,,,,,,,,,
Three people ......,"15,577","15,277","15,720","15,735",,,,,,
Four people ......,"19,971","20,144","20,474","19,806","19,874",,,,,
Five people ......,"23,613","24,293","24,646","23,891","23,307","22,951",,,,
Six people ......,"26,683","27,941","28,052","27,474","26,920","26,096","25,608",,,
Seven people ......,"30,249","32,150","32,350","31,658","31,176","30,277","29,229","28,079",,
Eight people ......,"33,610","35,957","36,274","35,621","35,049","34,237","33,207","32,135","31,862",
Nine people or more ......,"40,288","43,254","43,463","42,885","42,400","41,603","40,507","39,515","39,270","37,757"
Source:U.S. Census Bureau,,,,,,,,,,
,
